country,week_end_date,activations
United States,7/1/2018,"50,226"
Australia,7/8/2018,"4,767"
Germany,7/8/2018,"7,574"
United Kingdom,7/8/2018,"8,244"
United States,7/8/2018,"48,578"
Australia,7/15/2018,"5,079"
Germany,7/15/2018,"8,475"
United Kingdom,7/15/2018,"7,858"
United States,7/15/2018,"45,290"
Australia,7/22/2018,"6,197"
Germany,7/22/2018,"12,446"
United Kingdom,7/22/2018,"10,149"
United States,7/22/2018,"44,303"
Australia,7/29/2018,"5,264"
Germany,7/29/2018,"8,002"
United Kingdom,7/29/2018,"8,926"
United States,7/29/2018,"43,787"
Australia,8/5/2018,"4,347"
Germany,8/5/2018,"8,689"
United Kingdom,8/5/2018,"9,845"
United States,8/5/2018,"43,347"
Australia,8/12/2018,"4,141"
Germany,8/12/2018,"9,606"
United Kingdom,8/12/2018,"9,324"
United States,8/12/2018,"42,832"
Australia,8/19/2018,"4,027"
Germany,8/19/2018,"11,319"
United Kingdom,8/19/2018,"10,255"
United States,8/19/2018,"43,614"
Australia,8/26/2018,"3,867"
Germany,8/26/2018,"9,421"
United Kingdom,8/26/2018,"10,096"
United States,8/26/2018,"43,438"
Australia,9/2/2018,"4,474"
Germany,9/2/2018,"9,418"
United Kingdom,9/2/2018,"9,440"
United States,9/2/2018,"46,613"
Australia,9/9/2018,"5,477"
Germany,9/9/2018,"11,183"
United Kingdom,9/9/2018,"14,980"
United States,9/9/2018,"88,701"
Australia,9/16/2018,"5,091"
Germany,9/16/2018,"9,893"
United Kingdom,9/16/2018,"14,218"
United States,9/16/2018,"62,276"
Australia,9/23/2018,"4,220"
Germany,9/23/2018,"8,508"
United Kingdom,9/23/2018,"11,038"
United States,9/23/2018,"49,317"
Australia,9/30/2018,"4,730"
Germany,9/30/2018,"18,090"
United Kingdom,9/30/2018,"18,129"
United States,9/30/2018,"45,326"
Australia,10/7/2018,"4,475"
Germany,10/7/2018,"16,244"
United Kingdom,10/7/2018,"14,437"
United States,10/7/2018,"46,563"
Australia,10/14/2018,"5,476"
Germany,10/14/2018,"12,078"
United Kingdom,10/14/2018,"12,688"
United States,10/14/2018,"47,391"
Australia,10/21/2018,"4,932"
Germany,10/21/2018,"9,305"
United Kingdom,10/21/2018,"12,193"
United States,10/21/2018,"44,066"
Australia,10/28/2018,"5,523"
Germany,10/28/2018,"13,556"
United Kingdom,10/28/2018,"17,824"
United States,10/28/2018,"69,313"
Australia,11/4/2018,"4,809"
Germany,11/4/2018,"14,533"
United Kingdom,11/4/2018,"15,642"
United States,11/4/2018,"56,737"
Australia,11/11/2018,"4,270"
Germany,11/11/2018,"9,679"
United Kingdom,11/11/2018,"11,544"
United States,11/11/2018,"48,536"
Australia,11/18/2018,"4,332"
Germany,11/18/2018,"8,620"
United Kingdom,11/18/2018,"10,953"
United States,11/18/2018,"65,345"
Australia,11/25/2018,"10,001"
Germany,11/25/2018,"30,332"
United Kingdom,11/25/2018,"21,950"
United States,11/25/2018,"298,130"
Australia,12/2/2018,"6,163"
Germany,12/2/2018,"23,172"
United Kingdom,12/2/2018,"18,543"
United States,12/2/2018,"110,687"
Australia,12/9/2018,"4,310"
Germany,12/9/2018,"13,935"
United Kingdom,12/9/2018,"11,495"
United States,12/9/2018,"84,120"
Australia,12/16/2018,"4,346"
Germany,12/16/2018,"22,365"
United Kingdom,12/16/2018,"12,877"
United States,12/16/2018,"73,984"
Australia,12/23/2018,"8,920"
Germany,12/23/2018,"27,917"
United Kingdom,12/23/2018,"17,718"
United States,12/23/2018,"99,547"
Australia,12/30/2018,"34,444"
Germany,12/30/2018,"73,492"
United Kingdom,12/30/2018,"130,711"
United States,12/30/2018,"632,150"
Australia,1/6/2019,"6,050"
Germany,1/6/2019,"14,580"
United Kingdom,1/6/2019,"18,506"
United States,1/6/2019,"111,882"
Australia,1/13/2019,"4,098"
Germany,1/13/2019,"9,711"
United Kingdom,1/13/2019,"11,497"
United States,1/13/2019,"63,128"
Australia,1/20/2019,"3,478"
Germany,1/20/2019,"8,670"
United Kingdom,1/20/2019,"9,786"
United States,1/20/2019,"53,958"
Australia,1/27/2019,"2,938"
Germany,1/27/2019,"7,352"
United Kingdom,1/27/2019,"9,005"
United States,1/27/2019,"49,544"
Australia,2/3/2019,"3,384"
Germany,2/3/2019,"8,803"
United Kingdom,2/3/2019,"9,585"
United States,2/3/2019,"55,307"
Australia,2/10/2019,"2,584"
Germany,2/10/2019,"7,303"
United Kingdom,2/10/2019,"8,043"
United States,2/10/2019,"48,765"
Australia,2/17/2019,"2,655"
Germany,2/17/2019,"6,425"
United Kingdom,2/17/2019,"7,255"
United States,2/17/2019,"48,716"
Australia,2/24/2019,"2,511"
Germany,2/24/2019,"5,417"
United Kingdom,2/24/2019,"7,752"
United States,2/24/2019,"62,286"
Australia,3/3/2019,"2,256"
Germany,3/3/2019,"5,990"
United Kingdom,3/3/2019,"6,581"
United States,3/3/2019,"82,211"
Australia,3/10/2019,"2,257"
Germany,3/10/2019,"5,911"
United Kingdom,3/10/2019,"6,509"
United States,3/10/2019,"59,542"
Australia,3/17/2019,"1,996"
Germany,3/17/2019,"5,614"
United Kingdom,3/17/2019,"6,436"
United States,3/17/2019,"53,232"
Australia,3/24/2019,"1,839"
Germany,3/24/2019,"4,944"
United Kingdom,3/24/2019,"6,157"
United States,3/24/2019,"41,887"
Australia,3/31/2019,"2,146"
Germany,3/31/2019,"4,761"
United Kingdom,3/31/2019,"6,066"
United States,3/31/2019,"40,792"
Australia,4/7/2019,"2,051"
Germany,4/7/2019,"4,472"
United Kingdom,4/7/2019,"6,015"
United States,4/7/2019,"38,990"
Australia,4/14/2019,"2,340"
Germany,4/14/2019,"4,943"
United Kingdom,4/14/2019,"5,953"
United States,4/14/2019,"36,460"
Australia,4/21/2019,"2,512"
Germany,4/21/2019,"4,931"
United Kingdom,4/21/2019,"5,648"
United States,4/21/2019,"38,314"
Australia,4/28/2019,"2,477"
Germany,4/28/2019,"4,695"
United Kingdom,4/28/2019,"6,171"
United States,4/28/2019,"34,911"
Australia,5/5/2019,"2,356"
Germany,5/5/2019,"5,129"
United Kingdom,5/5/2019,"6,528"
United States,5/5/2019,"35,215"
Australia,5/12/2019,"2,108"
Germany,5/12/2019,"4,716"
United Kingdom,5/12/2019,"5,978"
United States,5/12/2019,"32,328"
Australia,5/19/2019,"2,148"
Germany,5/19/2019,"4,294"
United Kingdom,5/19/2019,"5,488"
United States,5/19/2019,"31,488"
Australia,5/26/2019,"2,056"
Germany,5/26/2019,"3,856"
United Kingdom,5/26/2019,"5,621"
United States,5/26/2019,"33,559"
Australia,6/2/2019,"2,214"
Germany,6/2/2019,"4,467"
United Kingdom,6/2/2019,"6,828"
United States,6/2/2019,"36,024"
Australia,6/9/2019,"3,070"
Germany,6/9/2019,"4,749"
United Kingdom,6/9/2019,"6,469"
United States,6/9/2019,"40,883"
Australia,6/16/2019,"3,816"
Germany,6/16/2019,"5,984"
United Kingdom,6/16/2019,"7,728"
United States,6/16/2019,"50,006"
Australia,6/23/2019,"3,208"
Germany,6/23/2019,"5,247"
United Kingdom,6/23/2019,"6,428"
United States,6/23/2019,"43,250"
Australia,6/30/2019,"3,492"
Germany,6/30/2019,"5,518"
United Kingdom,6/30/2019,"6,042"
United States,6/30/2019,"38,782"
Australia,7/7/2019,"3,743"
Germany,7/7/2019,"5,627"
United Kingdom,7/7/2019,"5,979"
United States,7/7/2019,"38,915"
Australia,7/14/2019,"3,804"
Germany,7/14/2019,"4,911"
United Kingdom,7/14/2019,"5,396"
United States,7/14/2019,"35,973"
Australia,7/21/2019,"4,157"
Germany,7/21/2019,"8,641"
United Kingdom,7/21/2019,"7,330"
United States,7/21/2019,"48,162"
Australia,7/28/2019,"3,523"
Germany,7/28/2019,"5,043"
United Kingdom,7/28/2019,"6,026"
United States,7/28/2019,"38,137"
Australia,8/4/2019,"2,757"
Germany,8/4/2019,"7,057"
United Kingdom,8/4/2019,"7,219"
United States,8/4/2019,"41,788"
Australia,8/11/2019,"2,811"
Germany,8/11/2019,"6,627"
United Kingdom,8/11/2019,"6,794"
United States,8/11/2019,"39,070"
Australia,8/18/2019,"2,585"
Germany,8/18/2019,"5,531"
United Kingdom,8/18/2019,"6,144"
United States,8/18/2019,"34,277"
Australia,8/25/2019,"2,437"
Germany,8/25/2019,"6,302"
United Kingdom,8/25/2019,"5,943"
United States,8/25/2019,"35,645"
Australia,9/1/2019,"2,730"
Germany,9/1/2019,"5,889"
United Kingdom,9/1/2019,"6,603"
United States,9/1/2019,"31,500"
Australia,9/8/2019,"2,414"
Germany,9/8/2019,"5,829"
United Kingdom,9/8/2019,"6,320"
United States,9/8/2019,"34,686"
Australia,9/15/2019,"2,343"
Germany,9/15/2019,"5,418"
United Kingdom,9/15/2019,"5,887"
United States,9/15/2019,"33,858"
Australia,9/22/2019,"2,432"
Germany,9/22/2019,"4,797"
United Kingdom,9/22/2019,"5,804"
United States,9/22/2019,"31,558"
Australia,9/29/2019,"2,477"
Germany,9/29/2019,"10,627"
United Kingdom,9/29/2019,"11,508"
